;serie;temporada;episodio;nome_episodio;nota;votos
0;Barry;2; 1;The Show Must Go On, Probably?;8.5;1172
1;Barry;2; 2;The Power of No;8.1;1060
2;Barry;2; 3;Past = Present x Future Over Yesterday;8.6;1106
3;Barry;2; 4;What?!;9.2;1352
4;Barry;2; 6;The Truth Has a Ring to It;8.6;1015
5;Barry;2; 7;The Audition;9.2;1204
6;Barry;2; 8;berkman > block;9.3;1356
7;Fleabag;2; 1;Episode #2.1;9.4;1429
8;Fleabag;2; 2;Episode #2.2;8.7;898
9;Fleabag;2; 3;Episode #2.3;9.1;948
10;Fleabag;2; 4;Episode #2.4;9.2;997
11;Fleabag;2; 5;Episode #2.5;9.0;884
12;Fleabag;2; 6;Episode #2.6;9.5;1207
13;O Bom Lugar;3; 1;Everything Is Bonzer!;8.3;1258
14;O Bom Lugar;3; 2;The Brainy Bunch;7.8;1071
15;O Bom Lugar;3; 3;The Snowplow;7.7;1042
16;O Bom Lugar;3; 4;Jeremy Bearimy;8.4;1114
17;O Bom Lugar;3; 5;The Ballad of Donkey Doug;7.5;1007
18;O Bom Lugar;3; 6;A Fractured Inheritance;7.8;978
19;O Bom Lugar;3; 7;The Worst Possible Use of Free Will;8.2;928
20;O Bom Lugar;3; 8;Don't Let the Good Life Pass You By;8.3;939
21;O Bom Lugar;3; 9;Janet(s);9.2;1441
22;O Bom Lugar;3; 10;The Book of Dougs;8.1;840
23;O Bom Lugar;3; 11;Chidi Sees the Time-Knife;8.3;821
24;O Bom Lugar;3; 12;Pandemonium;8.5;981
25;Maravilhosa Sra. Maisel;2; 1;Simone;8.4;1060
26;Maravilhosa Sra. Maisel;2; 2;Mid-way to Mid-town;8.6;899
27;Maravilhosa Sra. Maisel;2; 3;The Punishment Room;8.2;834
28;Maravilhosa Sra. Maisel;2; 4;We're Going to the Catskills!;8.6;919
29;Maravilhosa Sra. Maisel;2; 5;Midnight at the Concord;9.3;1070
30;Maravilhosa Sra. Maisel;2; 6;Let's Face the Music and Dance;8.7;799
31;Maravilhosa Sra. Maisel;2; 7;Look, She Made a Hat;8.9;858
32;Maravilhosa Sra. Maisel;2; 8;Someday...;8.4;729
33;Maravilhosa Sra. Maisel;2; 9;Vote for Kennedy, Vote for Kennedy;9.2;894
34;Maravilhosa Sra. Maisel;2; 10;All Alone;9.0;905
35;Boneca Russa;1; 1;Nothing in This World Is Easy;7.2;1691
36;Boneca Russa;1; 2;The Great Escape;7.5;1428
37;Boneca Russa;1; 3;A Warm Body;7.6;1316
38;Boneca Russa;1; 4;Alan's Routine;7.8;1285
39;Boneca Russa;1; 5;Superiority Complex;7.9;1209
40;Boneca Russa;1; 6;Reflection;8.1;1207
41;Boneca Russa;1; 7;The Way Out;8.4;1257
42;Boneca Russa;1; 8;Ariadne;8.6;1381
43;Vice;7; 1;Iowa;8.8;597
44;Vice;7; 2;Discovery Weekend;8.3;475
45;Vice;7; 3;Pledge;8.4;445
46;Vice;7; 4;South Carolina;8.5;439
47;Vice;7; 5;Super Tuesday;8.4;427
48;Vice;7; 6;Oslo;8.6;438
49;Vice;7; 7;Veep;9.5;1128
50;Schitt's Creek;5; 1;The Crowening;8.6;182
51;Schitt's Creek;5; 2;Love Letters;8.5;144
52;Schitt's Creek;5; 3;The Plant;8.5;136
53;Schitt's Creek;5; 4;The Dress;8.5;119
54;Schitt's Creek;5; 5;Housewarming;8.6;152
55;Schitt's Creek;5; 6;Rock On!;8.4;122
56;Schitt's Creek;5; 7;A Whisper of Desire;8.4;120
57;Schitt's Creek;5; 8;The Hospies;8.6;125
58;Schitt's Creek;5; 9;The M.V.P.;8.6;120
59;Schitt's Creek;5; 10;Roadkill;7.9;115
60;Schitt's Creek;5; 11;Meet the Parents;9.4;231
61;Schitt's Creek;5; 12;The Roast;8.5;108
62;Schitt's Creek;5; 13;The Hike;9.2;178
63;Schitt's Creek;5; 14;Life Is a Cabaret;9.2;153
